id,det_prob,start_time,end_time,high_freq,low_freq,class,class_prob,_source_csv,source_file,file_id,file_path,detection_start_s,detection_end_s,species_name,detection_probability,presence_label,detection_id,start_s,end_s,label,score,path
20,0.026,0.2035,0.2348,111569,93359,Rhinolophus hipposideros,0.026,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.026,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.026,
21,0.036,0.2115,0.2264,40750,36640,Pipistrellus nathusii,0.02,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Pipistrellus nathusii,0.036,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.036,
22,0.039,0.2295,0.266,82183,68437,Rhinolophus ferrumequinum,0.038,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.039,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.039,
23,0.039,0.2305,0.264,111471,93359,Rhinolophus hipposideros,0.039,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.039,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.039,
24,0.036,0.2535,0.285,111226,93359,Rhinolophus hipposideros,0.036,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.036,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.036,
25,0.03,0.2795,0.2872,41353,28046,Eptesicus serotinus,0.009,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Eptesicus serotinus,0.03,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.03,
26,0.027,0.2875,0.3196,111827,93359,Rhinolophus hipposideros,0.027,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.027,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.027,
27,0.027,0.2935,0.3283,81438,68437,Rhinolophus ferrumequinum,0.027,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.027,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.027,
28,0.026,0.3065,0.3358,111367,93359,Rhinolophus hipposideros,0.026,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.026,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.026,
29,0.027,0.3265,0.3585,111621,93359,Rhinolophus hipposideros,0.027,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.027,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.027,
30,0.027,0.3315,0.3685,82015,68437,Rhinolophus ferrumequinum,0.026,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.027,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.027,
31,0.026,0.3525,0.3635,25990,21171,Nyctalus leisleri,0.012,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Nyctalus leisleri,0.026,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.026,
32,0.03,0.3825,0.4157,112043,93359,Rhinolophus hipposideros,0.03,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.03,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.03,
33,0.029,0.3915,0.4026,28279,22890,Nyctalus leisleri,0.015,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Nyctalus leisleri,0.029,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.029,
34,0.028,0.3925,0.4235,111663,93359,Rhinolophus hipposideros,0.028,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.028,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.028,
35,0.035,0.3955,0.4353,82470,68437,Rhinolophus ferrumequinum,0.035,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.035,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.035,
36,0.033,0.4225,0.4521,111258,93359,Rhinolophus hipposideros,0.033,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.033,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.033,
37,0.04,0.4545,0.4617,47754,35781,Myotis daubentonii,0.016,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Myotis daubentonii,0.04,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.04,
38,0.756,0.4575,0.4677,42203,28046,Eptesicus serotinus,0.619,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Eptesicus serotinus,0.756,present,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,present,0.756,
39,0.041,0.4635,0.4707,40132,34062,Myotis brandtii,0.011,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Myotis brandtii,0.041,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.041,
40,0.074,0.4655,0.4721,36045,27187,Eptesicus serotinus,0.031,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Eptesicus serotinus,0.074,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.074,
41,0.03,0.4725,0.5108,82170,68437,Rhinolophus ferrumequinum,0.03,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.03,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.03,
42,0.168,0.4755,0.4825,57106,52968,Pipistrellus pygmaeus,0.163,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Pipistrellus pygmaeus,0.168,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.168,
43,0.036,0.4795,0.5121,111521,93359,Rhinolophus hipposideros,0.036,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.036,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.036,
44,0.026,0.4925,0.4989,72113,11718,Myotis nattereri,0.014,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Myotis nattereri,0.026,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.026,
45,0.036,0.4935,0.5001,35289,24609,Plecotus austriacus,0.014,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Plecotus austriacus,0.036,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.036,
46,0.035,0.4935,0.4997,41569,29765,Myotis daubentonii,0.011,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Myotis daubentonii,0.035,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.035,
47,0.034,0.5155,0.5541,82721,68437,Rhinolophus ferrumequinum,0.034,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.034,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.034,
48,0.027,0.5195,0.5505,111308,93359,Rhinolophus hipposideros,0.027,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.027,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.027,
49,0.032,0.5525,0.583,111416,93359,Rhinolophus hipposideros,0.032,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.032,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.032,
50,0.299,0.5525,0.5612,56162,52109,Pipistrellus pygmaeus,0.222,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Pipistrellus pygmaeus,0.299,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.299,
51,0.032,0.5585,0.5908,111623,93359,Rhinolophus hipposideros,0.032,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.032,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.032,
52,0.034,0.5655,0.597,111596,93359,Rhinolophus hipposideros,0.034,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.034,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.034,
53,0.028,0.5665,0.5748,43066,38359,Barbastellus barbastellus,0.015,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Barbastellus barbastellus,0.028,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.028,
54,0.034,0.5755,0.5925,23540,20312,Nyctalus leisleri,0.021,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Nyctalus leisleri,0.034,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.034,
55,0.03,0.5845,0.6145,111186,93359,Rhinolophus hipposideros,0.03,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.03,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.03,
56,0.028,0.5875,0.6209,81156,68437,Rhinolophus ferrumequinum,0.028,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus ferrumequinum,0.028,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.028,
57,0.043,0.6295,0.6369,48493,40937,Pipistrellus pipistrellus,0.013,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Pipistrellus pipistrellus,0.043,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.043,
58,0.029,0.6325,0.6669,112221,93359,Rhinolophus hipposideros,0.029,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Rhinolophus hipposideros,0.029,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.029,
59,0.76,0.6345,0.645,44454,28906,Eptesicus serotinus,0.62,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Eptesicus serotinus,0.76,present,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,present,0.76,
60,0.048,0.6355,0.64,48831,38359,Pipistrellus nathusii,0.014,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Pipistrellus nathusii,0.048,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.048,
61,0.033,0.6385,0.6447,61730,52109,Pipistrellus pipistrellus,0.023,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Pipistrellus pipistrellus,0.033,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.033,
62,0.052,0.6425,0.6494,37323,28906,Eptesicus serotinus,0.013,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,00235_eptesicus_serotinus_0_1.0.wav.csv,,,,Eptesicus serotinus,0.052,absent,00235_eptesicus_serotinus_0_1.0.wav.csv#nan-nan,,,absent,0.052,
